"Rate of Amyloid Formation in s (448-10/482-10) based on Time to threshold","Sample IDs","Raw Data (448-10/482-10)","Dilutions","Raw Data  (448-10/482-10)"
NA,"30","401",-1,NA
NA,"31","397",-1,NA
NA,"32","390",-1,NA
NA,"33","381",-1,NA
NA,"P","381",-3,NA
NA,"23","385",-1,NA
NA,"24","393",-1,NA
NA,"25","394",-1,NA
NA,"26","393",-1,NA
NA,"27","403",-1,NA
NA,"28","395",-1,NA
NA,"29","394",-1,NA
NA,"30","392",-1,NA
NA,"31","393",-1,NA
NA,"32","385",-1,NA
NA,"33","385",-1,NA
NA,"N","336",-3,NA
NA,"34","357",-1,NA
NA,"35","361",-1,NA
NA,"36","358",-1,NA
NA,"37","370",-1,NA
NA,"38","364",-1,NA
NA,"39","368",-1,NA
NA,"40","352",-1,NA
NA,"41","362",-1,NA
NA,"42","359",-1,NA
NA,"43","346",-1,NA
NA,"44","345",-1,NA
NA,"N","348",-3,NA
NA,"34","372",-1,NA
NA,"35","377",-1,NA
NA,"36","371",-1,NA
NA,"37","376",-1,NA
NA,"38","384",-1,NA
NA,"39","372",-1,NA
NA,"40","373",-1,NA
NA,"41","385",-1,NA
NA,"42","368",-1,NA
NA,"43","364",-1,NA
NA,"44","368",-1,NA
NA,"N","340",-3,NA
NA,"34","373",-1,NA
NA,"35","370",-1,NA
NA,"36","368",-1,NA
NA,"37","378",-1,NA
NA,"38","380",-1,NA
NA,"39","381",-1,NA
NA,"40","374",-1,NA
NA,"41","369",-1,NA
NA,"42","376",-1,NA
NA,"43","367",-1,NA
NA,"44","362",-1,NA
NA,"N","325",-3,NA
NA,"34","356",-1,NA
NA,"35","355",-1,NA
NA,"36","350",-1,NA
NA,"37","357",-1,NA
NA,"38","357",-1,NA
NA,"39","362",-1,NA
NA,"40","365",-1,NA
NA,"41","353",-1,NA
NA,"42","362",-1,NA
NA,"43","359",-1,NA
NA,"44","350",-1,NA
NA,"P","390",-3,NA
NA,"45","409",-1,NA
NA,"46","408",-1,NA
NA,"47","412",-1,NA
NA,"48","413",-1,NA
NA,"49","419",-1,NA
NA,"50","412",-1,NA
NA,"51","412",-1,NA
NA,"52","410",-1,NA
NA,"53","413",-1,NA
NA,"54","404",-1,NA
NA,"55","395",-1,NA
NA,"P","397",-3,NA
NA,"45","421",-1,NA
NA,"46","435",-1,NA
NA,"47","444",-1,NA
NA,"48","450",-1,NA
NA,"49","448",-1,NA
NA,"50","445",-1,NA
NA,"51","452",-1,NA
NA,"52","443",-1,NA
NA,"53","446",-1,NA
NA,"54","453",-1,NA
NA,"55","446",-1,NA
NA,"P","420",-3,NA
NA,"45","433",-1,NA
NA,"46","437",-1,NA
NA,"47","453",-1,NA
NA,"48","464",-1,NA
NA,"49","444",-1,NA
NA,"50","450",-1,NA
NA,"51","442",-1,NA
NA,"52","440",-1,NA
NA,"53","430",-1,NA
NA,"54","432",-1,NA
NA,"55","413",-1,NA
NA,"P","418",-3,NA
NA,"45","413",-1,NA
NA,"46","441",-1,NA
NA,"47","435",-1,NA
NA,"48","450",-1,NA
NA,"49","455",-1,NA
NA,"50","449",-1,NA
NA,"51","460",-1,NA
NA,"52","434",-1,NA
NA,"53","427",-1,NA
NA,"54","435",-1,NA
NA,"55","422",-1,NA
NA,"N","376",-3,NA
NA,"56","408",-1,NA
NA,"57","398",-1,NA
NA,"58","416",-1,NA
NA,"59","427",-1,NA
NA,"60","421",-1,NA
NA,"61","420",-1,NA
NA,"62","407",-1,NA
NA,"63","400",-1,NA
NA,"64","391",-1,NA
NA,"65","393",-1,NA
NA,"66","379",-1,NA
NA,"N","385",-3,NA
NA,"56","407",-1,NA
NA,"57","410",-1,NA
NA,"58","393",-1,NA
NA,"59","426",-1,NA
NA,"60","418",-1,NA
NA,"61","445",-1,NA
NA,"62","406",-1,NA
NA,"63","414",-1,NA
NA,"64","408",-1,NA
NA,"65","397",-1,NA
NA,"66","398",-1,NA
NA,"N","390",-3,NA
NA,"56","407",-1,NA
NA,"57","409",-1,NA
NA,"58","417",-1,NA
NA,"59","430",-1,NA
NA,"60","415",-1,NA
NA,"61","421",-1,NA
NA,"62","413",-1,NA
NA,"63","404",-1,NA
NA,"64","403",-1,NA
NA,"65","403",-1,NA
NA,"66","357",-1,NA
NA,"N","363",-3,NA
NA,"56","390",-1,NA
NA,"57","398",-1,NA
NA,"58","391",-1,NA
NA,"59","403",-1,NA
NA,"60","400",-1,NA
NA,"61","395",-1,NA
NA,"62","415",-1,NA
NA,"63","396",-1,NA
NA,"64","390",-1,NA
NA,"65","390",-1,NA
NA,"66","376",-1,NA
NA,"P","507",-3,NA
NA,"67","533",-1,NA
NA,"68","531",-1,NA
NA,"69","532",-1,NA
NA,"70","541",-1,NA
NA,"71","536",-1,NA
NA,"72","531",-1,NA
NA,"73","538",-1,NA
NA,"74","534",-1,NA
NA,"75","526",-1,NA
NA,"76","519",-1,NA
NA,"77","520",-1,NA
NA,"P","527",-3,NA
NA,"67","552",-1,NA
NA,"68","551",-1,NA
NA,"69","564",-1,NA
NA,"70","552",-1,NA
NA,"71","566",-1,NA
NA,"72","572",-1,NA
NA,"73","562",-1,NA
NA,"74","523",-1,NA
NA,"75","564",-1,NA
NA,"76","560",-1,NA
NA,"77","538",-1,NA
NA,"P","487",-3,NA
NA,"67","559",-1,NA
NA,"68","570",-1,NA
NA,"69","561",-1,NA
NA,"70","562",-1,NA
NA,"71","565",-1,NA
NA,"72","568",-1,NA
NA,"73","567",-1,NA
NA,"74","572",-1,NA
NA,"75","573",-1,NA
NA,"76","554",-1,NA
NA,"77","536",-1,NA
NA,"P","541",-3,NA
NA,"67","560",-1,NA
NA,"68","564",-1,NA
NA,"69","560",-1,NA
NA,"70","571",-1,NA
NA,"71","564",-1,NA
NA,"72","569",-1,NA
NA,"73","577",-1,NA
NA,"74","561",-1,NA
NA,"75","559",-1,NA
NA,"76","549",-1,NA
NA,"77","538",-1,NA
NA,"N","501",-3,NA
NA,"78","531",-1,NA
NA,"79","546",-1,NA
NA,"80","537",-1,NA
NA,"81","554",-1,NA
NA,"82","542",-1,NA
NA,"83","539",-1,NA
NA,"84","541",-1,NA
NA,"85","523",-1,NA
NA,"86","513",-1,NA
NA,"87","513",-1,NA
NA,"88","510",-1,NA
NA,"N","519",-3,NA
NA,"78","542",-1,NA
NA,"79","554",-1,NA
NA,"80","541",-1,NA
NA,"81","563",-1,NA
NA,"82","560",-1,NA
NA,"83","574",-1,NA
NA,"84","558",-1,NA
NA,"85","538",-1,NA
NA,"86","561",-1,NA
NA,"87","528",-1,NA
NA,"88","525",-1,NA
NA,"N","520",-3,NA
NA,"78","555",-1,NA
NA,"79","555",-1,NA
NA,"80","554",-1,NA
NA,"81","560",-1,NA
NA,"82","556",-1,NA
NA,"83","559",-1,NA
NA,"84","542",-1,NA
NA,"85","535",-1,NA
NA,"86","528",-1,NA
NA,"87","527",-1,NA
NA,"88","513",-1,NA
NA,"N","497",-3,NA
NA,"78","519",-1,NA
NA,"79","518",-1,NA
NA,"80","533",-1,NA
NA,"81","529",-1,NA
NA,"82","526",-1,NA
NA,"83","517",-1,NA
NA,"84","511",-1,NA
NA,"85","512",-1,NA
NA,"86","517",-1,NA
NA,"87","518",-1,NA
NA,"88","499",-1,NA
NA,"P",NA,-3,"645"
NA,"1027",NA,-1,"668"
NA,"1028",NA,-1,"667"
NA,"1029",NA,-1,"665"
NA,"P",NA,-3,"645"
NA,"1027",NA,-1,"661"
NA,"1028",NA,-1,"684"
NA,"1029",NA,-1,"673"
NA,"P",NA,-3,"654"
NA,"1027",NA,-1,"666"
NA,"1028",NA,-1,"667"
NA,"1029",NA,-1,"697"
NA,"P",NA,-3,"654"
NA,"1027",NA,-1,"665"
NA,"1028",NA,-1,"664"
NA,"1029",NA,-1,"672"
NA,"N",NA,-3,"640"
NA,"1030",NA,-1,"660"
NA,"1031",NA,-1,"663"
NA,"1032",NA,-1,"671"
NA,"N",NA,-3,"647"
NA,"1030",NA,-1,"667"
NA,"1031",NA,-1,"665"
NA,"1032",NA,-1,"652"
NA,"N",NA,-3,"646"
NA,"1030",NA,-1,"657"
NA,"1031",NA,-1,"662"
NA,"1032",NA,-1,"669"
NA,"N",NA,-3,"625"
NA,"1030",NA,-1,"635"
NA,"1031",NA,-1,"639"
NA,"1032",NA,-1,"654"
NA,"P","562",-3,NA
NA,"961","581",-1,NA
NA,"962","592",-1,NA
NA,"963","579",-1,NA
NA,"964","582",-1,NA
NA,"965","602",-1,NA
NA,"966","580",-1,NA
NA,"967","580",-1,NA
NA,"968","594",-1,NA
NA,"969","568",-1,NA
NA,"970","564",-1,NA
NA,"971","587",-1,NA
NA,"P","599",-3,NA
NA,"961","629",-1,NA
NA,"962","622",-1,NA
NA,"963","617",-1,NA
NA,"964","627",-1,NA
NA,"965","640",-1,NA
NA,"966","622",-1,NA
NA,"967","611",-1,NA
NA,"968","617",-1,NA
NA,"969","606",-1,NA
NA,"970","596",-1,NA
NA,"971","613",-1,NA
NA,"P","609",-3,NA
NA,"961","638",-1,NA
NA,"962","628",-1,NA
NA,"963","612",-1,NA
NA,"964","639",-1,NA
NA,"965","661",-1,NA
NA,"966","624",-1,NA
NA,"967","616",-1,NA
NA,"968","634",-1,NA
NA,"969","598",-1,NA
NA,"970","628",-1,NA
NA,"971","623",-1,NA
NA,"P","639",-3,NA
NA,"961","597",-1,NA
NA,"962","633",-1,NA
NA,"963","627",-1,NA
NA,"964","645",-1,NA
NA,"965","666",-1,NA
NA,"966","653",-1,NA
NA,"967","621",-1,NA
NA,"968","651",-1,NA
NA,"969","598",-1,NA
NA,"970","609",-1,NA
NA,"971","630",-1,NA
NA,"N","539",-3,NA
NA,"972","561",-1,NA
NA,"973","562",-1,NA
NA,"974","570",-1,NA
NA,"975","577",-1,NA
NA,"976","573",-1,NA
NA,"977","589",-1,NA
NA,"978","581",-1,NA
NA,"979","580",-1,NA
NA,"980","569",-1,NA
NA,"981","574",-1,NA
NA,"982","565",-1,NA
NA,"N","561",-3,NA
NA,"972","591",-1,NA
NA,"973","595",-1,NA
NA,"974","581",-1,NA
NA,"975","620",-1,NA
NA,"976","628",-1,NA
NA,"977","637",-1,NA
NA,"978","608",-1,NA
NA,"979","626",-1,NA
NA,"980","607",-1,NA
NA,"981","600",-1,NA
NA,"982","609",-1,NA
NA,"N","577",-3,NA
NA,"972","592",-1,NA
NA,"973","597",-1,NA
NA,"974","571",-1,NA
NA,"975","624",-1,NA
NA,"976","633",-1,NA
NA,"977","522",-1,NA
NA,"978","589",-1,NA
NA,"979","596",-1,NA
NA,"980","614",-1,NA
NA,"981","598",-1,NA
NA,"982","590",-1,NA
NA,"N","568",-3,NA
NA,"972","594",-1,NA
NA,"973","582",-1,NA
NA,"974","572",-1,NA
NA,"975","583",-1,NA
NA,"976","602",-1,NA
NA,"977","574",-1,NA
NA,"978","602",-1,NA
NA,"979","604",-1,NA
NA,"980","605",-1,NA
NA,"981","590",-1,NA
NA,"982","598",-1,NA
NA,"P","580",-1,NA
NA,"983","599",-1,NA
NA,"984","615",-1,NA
NA,"985","609",-1,NA
NA,"986","603",-1,NA
NA,"987","624",-1,NA
NA,"988","625",-1,NA
NA," 989","610",-1,NA
NA," 990","628",-1,NA
NA," 991","619",-1,NA
NA," 992","610",-1,NA
NA," 993","584",-1,NA
NA,"P","621",-1,NA
NA,"983","654",-1,NA
NA,"984","665",-1,NA
NA,"985","667",-1,NA
NA,"986","693",-1,NA
NA,"987","689",-1,NA
NA,"988","697",-1,NA
NA," 989","663",-1,NA
NA," 990","686",-1,NA
NA," 991","689",-1,NA
NA," 992","668",-1,NA
NA," 993","653",-1,NA
NA,"P","635",-1,NA
NA,"983","680",-1,NA
NA,"984","688",-1,NA
NA,"985","702",-1,NA
NA,"986","681",-1,NA
NA,"987","688",-1,NA
NA,"988","688",-1,NA
NA," 989","671",-1,NA
NA," 990","672",-1,NA
NA," 991","561",-1,NA
NA," 992","669",-1,NA
NA," 993","655",-1,NA
NA,"P","658",-1,NA
NA,"983","660",-1,NA
NA,"984","666",-1,NA
NA,"985","694",-1,NA
NA,"986","686",-1,NA
NA,"987","693",-1,NA
NA,"988","601",-1,NA
NA," 989","684",-1,NA
NA," 990","683",-1,NA
NA," 991","671",-1,NA
NA," 992","693",-1,NA
NA," 993","660",-1,NA
NA,"N","578",-1,NA
NA,"994","615",-1,NA
NA,"995","611",-1,NA
NA,"996","630",-1,NA
NA,"997","619",-1,NA
NA,"998","622",-1,NA
NA,"999","627",-1,NA
NA,"1000","598",-1,NA
NA,"1001","615",-1,NA
NA,"1002","608",-1,NA
NA,"1003","598",-1,NA
NA,"1004","588",-1,NA
NA,"N","598",-1,NA
NA,"994","655",-1,NA
NA,"995","649",-1,NA
NA,"996","646",-1,NA
NA,"997","649",-1,NA
NA,"998","655",-1,NA
NA,"999","659",-1,NA
NA,"1000","658",-1,NA
NA,"1001","653",-1,NA
NA,"1002","656",-1,NA
NA,"1003","633",-1,NA
NA,"1004","628",-1,NA
NA,"N","615",-1,NA
NA,"994","635",-1,NA
NA,"995","645",-1,NA
NA,"996","661",-1,NA
NA,"997","631",-1,NA
NA,"998","679",-1,NA
NA,"999","655",-1,NA
NA,"1000","650",-1,NA
NA,"1001","652",-1,NA
NA,"1002","653",-1,NA
NA,"1003","633",-1,NA
NA,"1004","625",-1,NA
NA,"N","586",-1,NA
NA,"994","600",-1,NA
NA,"995","601",-1,NA
NA,"996","600",-1,NA
NA,"997","603",-1,NA
NA,"998","628",-1,NA
NA,"999","663",-1,NA
NA,"1000","642",-1,NA
NA,"1001","620",-1,NA
NA,"1002","619",-1,NA
NA,"1003","627",-1,NA
NA,"1004","602",-1,NA
NA,"P","489",-3,NA
NA,"1005","516",-1,NA
NA,"1006","514",-1,NA
NA,"1007","525",-1,NA
NA,"1008","521",-1,NA
NA,"1009","531",-1,NA
NA,"1010","512",-1,NA
NA,"1011","508",-1,NA
NA,"1012","521",-1,NA
NA,"1013","512",-1,NA
NA,"1014","511",-1,NA
NA,"1015","505",-1,NA
NA,"P","513",-3,NA
NA,"1005","528",-1,NA
NA,"1006","553",-1,NA
NA,"1007","552",-1,NA
NA,"1008","548",-1,NA
NA,"1009","568",-1,NA
NA,"1010","548",-1,NA
NA,"1011","540",-1,NA
NA,"1012","553",-1,NA
NA,"1013","550",-1,NA
NA,"1014","551",-1,NA
NA,"1015","533",-1,NA
NA,"P","532",-3,NA
NA,"1005","545",-1,NA
NA,"1006","559",-1,NA
NA,"1007","565",-1,NA
NA,"1008","579",-1,NA
NA,"1009","564",-1,NA
NA,"1010","550",-1,NA
NA,"1011","541",-1,NA
NA,"1012","547",-1,NA
NA,"1013","534",-1,NA
NA,"1014","542",-1,NA
NA,"1015","524",-1,NA
NA,"P","537",-3,NA
NA,"1005","537",-1,NA
NA,"1006","561",-1,NA
NA,"1007","559",-1,NA
NA,"1008","567",-1,NA
NA,"1009","565",-1,NA
NA,"1010","568",-1,NA
NA,"1011","569",-1,NA
NA,"1012","547",-1,NA
NA,"1013","542",-1,NA
NA,"1014","549",-1,NA
NA,"1015","530",-1,NA
NA,"N","484",-3,NA
NA,"1016","515",-1,NA
NA,"1017","508",-1,NA
NA,"1018","520",-1,NA
NA,"1019","533",-1,NA
NA,"1020","531",-1,NA
NA,"1021","525",-1,NA
NA,"1022","512",-1,NA
NA,"1023","512",-1,NA
NA,"1024","502",-1,NA
NA,"1025","500",-1,NA
NA,"1026","494",-1,NA
NA,"N","512",-3,NA
NA,"1016","507",-1,NA
NA,"1017","525",-1,NA
NA,"1018","504",-1,NA
NA,"1019","537",-1,NA
NA,"1020","550",-1,NA
NA,"1021","568",-1,NA
NA,"1022","529",-1,NA
NA,"1023","541",-1,NA
NA,"1024","522",-1,NA
NA,"1025","514",-1,NA
NA,"1026","506",-1,NA
NA,"N","504",-3,NA
NA,"1016","525",-1,NA
NA,"1017","527",-1,NA
NA,"1018","531",-1,NA
NA,"1019","554",-1,NA
NA,"1020","550",-1,NA
NA,"1021","527",-1,NA
NA,"1022","525",-1,NA
NA,"1023","520",-1,NA
NA,"1024","541",-1,NA
NA,"1025","529",-1,NA
NA,"1026","512",-1,NA
NA,"N","476",-3,NA
NA,"1016","504",-1,NA
NA,"1017","515",-1,NA
NA,"1018","512",-1,NA
NA,"1019","515",-1,NA
NA,"1020","521",-1,NA
NA,"1021","516",-1,NA
NA,"1022","532",-1,NA
NA,"1023","507",-1,NA
NA,"1024","514",-1,NA
NA,"1025","509",-1,NA
NA,"1026","499",-1,NA
